patient_id,patient_name,age,email,phone
1,John Doe,30,johndoe@example.com,555-123-4567
2,Jane Smith,25,janesmith@example.com,555-901-2345
3,Bob Johnson,40,bobjohnson@example.com,555-111-2222
4,Maria Rodriguez,35,mariarodriguez@example.com,555-444-5555
5,David Lee,28,davidlee@example.com,555-666-7777
6,Emily Chen,32,emilychen@example.com,555-888-9999
7,Kevin White,45,kevinwhite@example.com,555-333-4444
8,Sophia Patel,22,sophiapatel@example.com,555-777-8888
9,Michael Brown,38,michaelbrown@example.com,555-999-0000
10,Olivia Martin,29,oliviamartin@example.com,555-222-3333
11,Ammar,27,sample@email.com,012347xxxx
